Campaign,Ad group,Keyword,Match type,Max CPC,Final URL,Status
DR-iPhone,General,[사설 아이폰 수리],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""사설 아이폰 수리""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 11 배터리 교체],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 11 배터리 교체""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 11 액정 수리],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 11 액정 수리""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 12 배터리 교체],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 12 배터리 교체""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 12 액정 수리비],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 12 액정 수리비""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 13 배터리 교체],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 13 배터리 교체""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 13 액정 수리비],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 13 액정 수리비""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 14 배터리 교체],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 14 배터리 교체""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 14 배터리 교체 비용],Exact,1020,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 14 배터리 교체 비용""",Phrase,816,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 14 액정 수리비],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 14 액정 수리비""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 14 프로 액정 수리],Exact,1530,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 14 프로 액정 수리""",Phrase,1224,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 15 배터리 교체],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 15 배터리 교체""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 15 배터리 교체 비용],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 15 배터리 교체 비용""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 15 액정 수리비],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 15 액정 수리비""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 15 프로 액정 수리],Exact,1530,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 15 프로 액정 수리""",Phrase,1224,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 15 프로맥스 액정 수리],Exact,1530,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 15 프로맥스 액정 수리""",Phrase,1224,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 16 배터리 교체],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 16 배터리 교체""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 16 배터리 교체 비용],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 16 배터리 교체 비용""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 16 액정 수리비],Exact,2040,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 16 액정 수리비""",Phrase,1632,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 16 프로 액정 수리],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 16 프로 액정 수리""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 16 프로맥스 액정 수리],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 16 프로맥스 액정 수리""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 16 플러스 액정 수리],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 16 플러스 액정 수리""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 17 배터리 교체],Exact,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 17 배터리 교체""",Phrase,1088,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 17 배터리 교체 비용],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 17 배터리 교체 비용""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 17 액정 수리비],Exact,2040,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 17 액정 수리비""",Phrase,1632,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 17 프로 액정 수리],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 17 프로 액정 수리""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 17 프로맥스 액정 수리],Exact,1700,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 17 프로맥스 액정 수리""",Phrase,1360,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 1시간 수리],Exact,850,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 1시간 수리""",Phrase,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 30분 수리],Exact,1190,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 30분 수리""",Phrase,952,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 X 배터리 교체],Exact,680,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,"""아이폰 X 배터리 교체""",Phrase,544,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,General,[아이폰 당일 수리],Exact,1530,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
